2022-10-22 18:14:40,781 - root - INFO - We are starting the data analysis in Jupyter Notebook
2022-10-22 18:16:00,834 - root - INFO - From here we will analyze the data
2022-10-22 18:18:03,555 - root - INFO - Using visualization for better undertanding
2022-10-22 18:18:10,508 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2022-10-22 18:18:10,508 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-22 18:18:10,560 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-10-22 18:18:10,560 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-22 18:18:10,560 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-10-22 18:18:10,560 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-22 18:18:10,560 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2022-10-22 18:18:10,560 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-22 18:18:10,560 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2022-10-22 18:18:10,560 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-10-22 18:18:10,561 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2022-10-22 18:18:10,561 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\amrit\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
